mape,smape,rmse,mase,coverage,n_scored,mean_h,commodity,model,kind
0.0609972619126905,0.0602759266011624,5094.122794587475,1.0797683292518496,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Naive (last price),single
0.0801214586153889,0.0766866497810378,7044.8267110345805,1.4121219260803606,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Seasonal naive (12m),single
0.0639815687276049,0.0623171509756323,5407.067288097374,1.1233935237097408,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Drift,single
0.0546744258452523,0.053567865481398,4946.493387046038,0.9666282973001228,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Moving average (auto-k),single
0.060400858982383,0.0596322181726404,5066.623236705572,1.0691853973561587,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Simple exp. smoothing,single
0.0818270586979359,0.0836181042022566,6865.434609951842,1.453843627949185,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Holt trend (damped-auto),single
0.0962377668126193,0.0941259791145773,7663.168359904635,1.6959299169494384,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Holt-Winters seasonal,single
0.0600061340279398,0.0584669530053565,5180.877537411007,1.0556260657041885,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Theta method,single
0.1984634350342135,0.1768715521456786,14632.52930616369,3.483158246922662,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Linear trend,single
0.0597034311671814,0.0592771654504142,4784.484605057236,1.0574390163159515,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Autoregressive (ridge),single
0.0648265241255422,0.0630249801787409,6006.210565142271,1.145563926685589,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Random forest,single
0.062202306375291,0.0596970577656751,5944.423382896069,1.093453828849821,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Extra trees,single
0.0553054027027666,0.0532110119785467,5818.603079677759,0.974164377040653,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Gradient boosting,single
0.0772080800049178,0.072759115621033,7615.599279178592,1.350472581775935,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Hist gradient boosting,single
0.0865210484752942,0.0841115122480025,7258.682847864253,1.5552310413945174,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Support vector (RBF),single
0.0748497946035409,0.0745925369583184,5939.860707417235,1.3299543956711086,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",K-nearest neighbours,single
127827486041.95032,1.8456897600968527,1.3548959903015246e+16,2512391524537.3604,0.2222222222222222,2,2.0,"SILICO MANGANESE,25 TO 50 MM",Neural net (MLP),single
0.082179855148373,0.0780171182474715,6716.489101681589,1.447466559305867,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Bayesian ridge (lags),single
0.0593835990478754,0.0599231202874515,5012.761616249583,1.074580218477318,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Gaussian process,single
0.0667910520414571,0.0655972529459267,5189.639442171162,1.1782293068596157,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Ensemble: top-5 mean,ensemble
0.0624235429752773,0.0612692662633016,5111.060893001895,1.100181478273899,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Ensemble: inverse-error,ensemble
0.073449376864942,0.0726821395199313,5487.150438996462,1.298764573275326,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Ensemble: annealed weights,ensemble
0.068811648328585,0.0689647259691531,5552.939653062645,1.2204667235564244,1.0,9,4.333333333333333,"SILICO MANGANESE,25 TO 50 MM",Ensemble: greedy selection,ensemble
0.2801587087572049,0.2535671252187832,1387997.4027352082,0.9669003867279214,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Naive (last price),single
0.266344866837427,0.2517445386199129,891594.7732975472,0.7882243873669095,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Seasonal naive (12m),single
0.3025028485858218,0.2663363947512537,1379624.1636595442,1.0047044818271162,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Drift,single
0.3563638049129329,0.3054393984291656,1443558.175056569,1.1339685345823072,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Moving average (auto-k),single
0.290136485114447,0.2619053344357937,1384752.0378913016,0.9894150056758882,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Simple exp. smoothing,single
0.3905987999462471,0.3122351445735236,1719281.5911821134,1.2645287252518156,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Holt trend (damped-auto),single
0.5038583541571838,0.4202820352125523,1963450.5534601973,1.57731841640295,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Holt-Winters seasonal,single
0.3234086938923594,0.2843667866602029,1384100.3584849597,1.0560177897020695,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Theta method,single
0.7198494150966317,0.521046811616671,1691272.552830208,1.7532852725525063,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Linear trend,single
0.3770844616673633,0.3270215877699197,1382003.0757782618,1.140584099634043,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Autoregressive (ridge),single
0.3575142304039295,0.3358914416536672,1415772.1866193973,1.1543294642320163,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Random forest,single
0.3505622289711568,0.3242508873135787,1407664.625341124,1.1361392032162665,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Extra trees,single
0.4604328248862335,0.3740465599083021,1451069.5439388582,1.3183076607857098,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Gradient boosting,single
0.325278736311867,0.2976425433594434,1457230.935181983,1.0950627293505322,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Hist gradient boosting,single
0.367778222534798,0.3116190845701259,1387578.330877016,1.1386187420330554,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Support vector (RBF),single
0.3109312666955894,0.2973567864996566,1335552.7525202536,1.022105588838722,1.0,7,5.428571428571429,BOF STEEL LADLE SET,K-nearest neighbours,single
8.42824411194642e+60,1.3487033998081392,3.2115923445065766e+67,1.9571295028370728e+61,0.4285714285714285,3,1.3333333333333333,BOF STEEL LADLE SET,Neural net (MLP),single
0.4259849619905594,0.3541942365217631,1769937.0685840196,1.3638977724762025,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Bayesian ridge (lags),single
0.3975532292551063,0.3398504497002673,1401797.6345876572,1.2042478416362294,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Gaussian process,single
0.355643575977823,0.3211018974754676,1393822.2214777402,1.132946847693183,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Ensemble: top-5 mean,ensemble
0.3535150998198769,0.319372062380128,1369780.3263421634,1.1221560081248774,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Ensemble: inverse-error,ensemble
0.3270911894810759,0.3120291447173984,1356271.7847530884,1.0679463365347268,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Ensemble: annealed weights,ensemble
0.3342227485497594,0.3180797077778045,1368141.1121401235,1.0882175265353693,1.0,7,5.428571428571429,BOF STEEL LADLE SET,Ensemble: greedy selection,ensemble
0.1847322125528078,0.1820673911807193,267.0170014439531,0.9610977870983652,1.0,7,5.0,"FERRO VANADIUM,IS:1466-1985",Naive (last price),single
0.0822582326825961,0.0772069335986391,129.23301305654795,0.3820732459082679,1.0,7,5.0,"FERRO VANADIUM,IS:1466-1985",Seasonal naive (12m),single
0.220905202426863,0.2074228329136781,320.5054795293343,1.1288715612787696,1.0,7,5.0,"FERRO VANADIUM,IS:1466-1985",Drift,single
